URL: https://www.cms.gov/files/document/acceptable-risk-safeguards-v51.xlsx
TITLE: [XLS] ARS 5.1 - CMS
ERROR: None

| Control / Section | Documented cadence / frequency / timeline | Exact requirement (quote or close paraphrase) | Likely family / control ID |
| Program Management / PM-09 | At least every 365 days or as required | “Review and update the risk management strategy at least every 365 days or as required …” | PM-09 |
| Program Management / PM-10 | No fixed cadence stated | “Manage the security and privacy state … through authorization processes …” | PM-10 |
| Program Management / PM-11 | Every 3 years | “Review and revise the mission and business processes every 3 years.” | PM-11 |
| Program Management / PM-12 | No fixed cadence stated | “Implement an insider threat program …” | PM-12 |
| Program Management / PM-13 | No fixed cadence stated | “Establish a security and privacy workforce development and improvement program.” | PM-13 |
| Program Management / PM-14 | No fixed cadence stated | “Implement a process for ensuring that organizational plans for conducting security and privacy testing, training, and monitoring …” | PM-14 |
| Program Management / PM-15 | No fixed cadence stated | “Establish and institutionalize contact with selected groups and associations …” | PM-15 |
| Program Management / PM-16 | No fixed cadence stated | “Implement a threat awareness program …” | PM-16 |
| Program Management / PM-17 | Every 3 years | “Review and update the policy and procedures every 3 years.” | PM-17 |
| Program Management / PM-18 | Every 2 years | “Update the plan every 2 years …” | PM-18 |
| Program Management / PM-19 | No fixed cadence stated | “Appoint a senior agency official for privacy …” | PM-19 |
| Program Management / PM-20 | No fixed cadence stated for webpage maintenance; policy pages updated when substantive change | “Maintain a central resource webpage …” | PM-20 |
| Program Management / PM-20(01) | Update whenever substantive change; include time/date stamp | “Are updated whenever the organization makes a substantive change to the practices it describes and includes a time/date stamp …” | PM-20(01) |
| Program Management / PM-21 | Retain accounting for length of time PII maintained or 5 years after disclosure, whichever is longer | “Retain the accounting of disclosures for the length of the time the personally identifiable information is maintained or five years after the disclosure is made, whichever is longer …” | PM-21 |
| Program Management / PM-22 | No fixed cadence stated in base; quality reviewed across life cycle | “Develop and document organization-wide policies and procedures for …” | PM-22 |
| Program Management / PM-23 | No fixed cadence stated | “Establish a Data Governance Body …” | PM-23 |
| Program Management / PM-24 | Annual review of all matching programs | “Conduct an annual review of all matching programs in which the agency has participated.” | PM-24 |
| Program Management / PM-25 | Within every 365 days | “Review and update policies and procedures within every 365 days.” | PM-25 |
| Program Management / PM-26 | Within 24 hours; respond within 72 hours | “Track … complaints received are reviewed and addressed within 24 hours; acknowledgement … within 24 hours; response … within 72 hours.” | PM-26 |
| Program Management / PM-27 | Review and update privacy reports 30 days | “Review and update privacy reports 30 days.” | PM-27 |
| Program Management / PM-28 | Update not to exceed 90 days | “Review and update risk framing considerations that does not to exceed ninety (90) days.” | PM-28 |
| Program Management / PM-29 | No fixed cadence stated | “Appoint a Senior Accountable Official for Risk Management … and establish a Risk Executive …” | PM-29 |
| Program Management / PM-30 | Every 3 years or as required | “Review and update the supply chain risk management strategy on every 3 years or as required …” | PM-30 |
| Program Management / PM-31 | 72 hours for monitoring and 72 hours for assessment of control effectiveness; every 30 days reporting | “Establishing 72 hours for monitoring and 72 hours for assessment of control effectiveness … reporting … every 30 days.” | PM-31 |
| Program Management / PM-32 | No fixed cadence stated | “Analyze CMS Mission/Business/System or system components …” | PM-32 |
| Personnel Security / PS-01 | At least every 365 days; following CMS-defined events | “Review and update the current personnel security … policy at least every 365 days … procedures at least every 365 days …” | PS-01 |
| Personnel Security / PS-02 | Every 3 years | “Review and update position risk designations every 3 years.” | PS-02 |
| Personnel Security / PS-03 | Prior to authorizing access; rescreen in accordance with policy / upon transfer to higher risk | “Screen individuals prior to authorizing access … Rescreen individuals in accordance with OPM, HHS, and the CMS Personnel Security Policy …” | PS-03 |
| Personnel Security / PS-04 | Upon termination; disable access within termination process/action | “Upon termination of individual employment: a. Disable system access within System access must be disabled prior to or during the employee termination process/action …” | PS-04 |
| Personnel Security / PS-04(02) | Quarterly | “Use automated mechanisms … to notify … of individual termination actions; disable access to system resources.” | PS-04(02) |
| Personnel Security / PS-05 | Within 30 days; notify within 7 days | “Initiate … within thirty (30) days … Notify … within seven (7) days.” | PS-05 |
| Personnel Security / PS-06 | Review/update within every 365 days; re-sign within every 365 days | “Review and update the access agreements within every 365 days … Re-sign access agreements … within every 365 days.” | PS-06 |
| Personnel Security / PS-07 | Maximum 72 hours / 7 calendar days / 30 calendar days from formal termination action; monitor compliance | “Notify … of any personnel transfers or terminations … within a maximum of seven-two (72) hours … seven (7) calendar days … thirty (30) calendar days …” | PS-07 |
| Personnel Security / PS-08 | Notify within 30 days / 7 days / 72 hours / 72 hours depending impact | “Notify … within 30 days / 7 days / 72 hours / 72 hours when a formal employee sanctions process is initiated …” | PS-08 |
| Personnel Security / PS-09 | No fixed cadence stated | “Incorporate security and privacy roles and responsibilities into organizational position descriptions.” | PS-09 |
| Personally Identifiable Information Processing and Transparency / PT-01 | At least every 365 days; following CMS-defined events | “Review and update the current personally identifiable information processing and transparency … policy at least every 365 days … procedures at least every 365 days …” | PT-01 |
| PT-02 | 3 years | “Determine and document the relevant legal authority …” | PT-02 |
| PT-03 | 3 years | “Identify and document the purpose(s) … Restrict … Monitor changes …” | PT-03 |
| PT-04 | 3 years | “Implement legally sufficient means for individuals to consent … prior to its collection …” | PT-04 |
| PT-05 | 3 years | “Provide notice to individuals …” | PT-05 |
| PT-05(02) | At time of collection / on forms | “Include Privacy Act statements on forms that collect information …” | PT-05(02) |
| PT-06 | 3 years | “Draft system of records notices … publish … keep … accurate, up-to-date …” | PT-06 |
| PT-06(01) | Every 3 years | “Review all routine uses … at every 3 years …” | PT-06(01) |
| PT-06(02) | Every 3 years | “Review all Privacy Act exemptions claimed … at every 3 years …” | PT-06(02) |
| PT-07 | 3 years | “Apply processing conditions … for specific categories of PII.” | PT-07 |
| PT-07(01) | When processing SSNs | “When a system processes Social Security numbers …” | PT-07(01) |
| PT-07(02) | 3 years | “Prohibit the processing of information describing how any individual exercises rights guaranteed by the First Amendment …” | PT-07(02) |
| PT-08 | 3 years | “When a system or organization processes information for the purpose of conducting a matching program …” | PT-08 |
| Risk Assessment / RA-01 | At least every 365 days; following CMS-defined events | “Review and update the current risk assessment … policy at least every 365 days … procedures at least every 365 days …” | RA-01 |
| Risk Assessment / RA-02 | 2 years | “Categorize the system and information it processes …” | RA-02 |
| Risk Assessment / RA-03 | Review within every 365 days; update every 3 years or significant change | “Review risk assessment results within every 365 days … Update the risk assessment every 3 years or when there are significant changes …” | RA-03 |
| Risk Assessment / RA-03(01) | Update every 3 years / when significant changes | “Update the supply chain risk assessment every 3 years, when there are significant changes …” | RA-03(01) |
| Risk Assessment / RA-05 | No less often than once every 72 hours; new vulnerabilities; monthly assessment frequency shown | “Monitor and scan for vulnerabilities … no less often than once every 72 hours and when new vulnerabilities …” | RA-05 |
| Risk Assessment / RA-05(02) | No less often than every 72 hours; prior to new scan; when new vulnerabilities identified | “Update the system vulnerabilities to be scanned no less often than every 72 hours, prior to a new scan, and when new vulnerabilities are identified and reported.” | RA-05(02) |
| Risk Assessment / RA-05(04) | At least every 365 days | “Determine information about the system that is discoverable and take appropriate corrective actions …” | RA-05(04) |
| Risk Assessment / RA-05(05) | Quarterly | “Implement privileged access authorization … for defined vulnerability scanning activities …” | RA-05(05) |
| Risk Assessment / RA-05(06) | Not specified | “Compare the results of multiple vulnerability scans using automated tools.” | RA-05(06) |
| Risk Assessment / RA-05(10) | Not specified | “Correlate the output from vulnerability scanning tools …” | RA-05(10) |
| Risk Assessment / RA-05(11) | At least every 365 days | “Establish a public reporting channel for receiving reports of vulnerabilities …” | RA-05(11) |
| Risk Assessment / RA-07 | Not specified | “Respond to findings … in accordance with organizational risk tolerance.” | RA-07 |
| Risk Assessment / RA-08 | Before developing/procuring IT; before initiating new PII collection | “Conduct privacy impact assessments … before …” | RA-08 |
| Risk Assessment / RA-09 | At decision points in SDLC | “Identify critical system components and functions by performing a criticality analysis … at decision points in the system development life cycle.” | RA-09 |
| System and Services Acquisition / SA-01 | At least every 365 days; following CMS-defined events | “Review and update the current system and services acquisition … policy at least every 365 days … procedures at least every 365 days …” | SA-01 |
| System and Services Acquisition / SA-02 | Monthly | “Determine … requirements … allocate the resources … establish a discrete line item …” | SA-02 |
| System and Services Acquisition / SA-03 | Monthly | “Acquire, develop, and manage the system using a formally defined and documented SDLC …” | SA-03 |
| System and Services Acquisition / SA-04 | Monthly | “Include the following requirements … in the acquisition contract …” | SA-04 |
| System and Services Acquisition / SA-04(05) | Not specified | “Deliver the system … with organizationally defined security configurations implemented; and use the configurations as the default …” | SA-04(05) |
| System and Services Acquisition / SA-04(09) | Monthly | “Require the developer … to identify the functions, ports, protocols, and services intended for organizational use.” | SA-04(09) |
| System and Services Acquisition / SA-04(10) | Monthly | “Employ only information technology products on the FIPS 201-approved products list …” | SA-04(10) |
| System and Services Acquisition / SA-05 | Monthly | “Obtain or develop administrator documentation … user documentation … distribute documentation …” | SA-05 |
| System and Services Acquisition / SA-08 | Monthly | “Apply the following systems security and privacy engineering principles …” | SA-08 |
| System and Services Acquisition / SA-08(33) | Not specified | “Implement the privacy principle of minimization using techniques defined by the CMS Privacy Office.” | SA-08(33) |
| System and Services Acquisition / SA-09 | Monthly | “Require that providers of external system services comply … and monitor control compliance … on an ongoing basis …” | SA-09 |
| System and Services Acquisition / SA-09(01) | Not specified | “Conduct an organizational assessment of risk prior to the acquisition or outsourcing of information security services …” | SA-09(01) |
| System and Services Acquisition / SA-09(02) | Not specified / annual assessment frequency shown | “Require providers … to identify the functions, ports, protocols, and other services required …” | SA-09(02) |
| System and Services Acquisition / SA-10 | Monthly | “Perform configuration management during … design; development; implementation; and operation …” | SA-10 |
| System and Services Acquisition / SA-11 | Annually | “At all post-design stages … ongoing security and privacy control assessments … unit; integration; system; regression testing/evaluation … at Annually;” | SA-11 |
| System and Services Acquisition / SA-11(01) | At least every 365 days; three (3) years | “Require the developer … to employ static code analysis tools …” | SA-11(01) |
| System and Services Acquisition / SA-15 | Every 3 years | “Review the development process, standards, tools, tool options, and tool configurations Every 3 years …” | SA-15 |
| System and Services Acquisition / SA-15(03) | Not specified | “Require the developer … to perform a criticality analysis … throughout the system development lifecycle …” | SA-15(03) |
| System and Services Acquisition / SA-16 | Not specified; annual assessment frequency shown | “Require the developer … to provide … training … classroom-style … web-based/computer-based … hands-on …” | SA-16 |
| System and Services Acquisition / SA-17 | At least every 365 days; three (3) years | “Require the developer … to produce a design specification and security and privacy architecture …” | SA-17 |
| System and Services Acquisition / SA-21 | At least every 365 days; three (3) years | “Require that the developer … has appropriate access authorizations … and satisfies … screening criteria …” | SA-21 |
| System and Services Acquisition / SA-22 | Not specified | “Replace system components when support … is no longer available … or provide … in-house support.” | SA-22 |
| System and Communications Protection / SC-01 | At least every 365 days; following CMS-defined events | “Review and update the current system and communications protection … policy at least every 365 days … procedures at least every 365 days …” | SC-01 |
| System and Communications Protection / SC-02 | Quarterly | “Separate user functionality … from system management functionality.” | SC-02 |
| System and Communications Protection / SC-03 | Quarterly | “Isolate security functions from nonsecurity functions.” | SC-03 |
| System and Communications Protection / SC-04 | Quarterly | “Prevent unauthorized and unintended information transfer via shared system resources.” | SC-04 |
| System and Communications Protection / SC-05 | Monthly | “Protect against the effects of … denial-of-service events …” | SC-05 |
| System and Communications Protection / SC-07 | Quarterly | “Monitor and control communications at the external managed interfaces …” | SC-07 |
| System and Communications Protection / SC-07(04) | Annually / every 365 days | “Review exceptions to the traffic flow policy within every 365 days or implementation of major new system …” | SC-07(04) |
| System and Communications Protection / SC-07(05) | Quarterly | “Deny network communications traffic by default and allow … by exception …” | SC-07(05) |
| System and Communications Protection / SC-07(07) | Quarterly | “Prevent split tunneling for remote devices …” | SC-07(07) |
| System and Communications Protection / SC-07(08) | Monthly | “Route all user-initiated internal communications traffic to untrusted external networks through authenticated proxy servers …” | SC-07(08) |
| System and Communications Protection / SC-07(10) | Not specified | “Prevent the exfiltration of information; and conduct exfiltration tests according to the defined frequency …” | SC-07(10) |
| System and Communications Protection / SC-08 | Quarterly | “Protect the confidentiality and integrity of transmitted information.” | SC-08 |
| System and Communications Protection / SC-08(01) | Quarterly | “Implement cryptographic mechanisms to prevent unauthorized disclosure … and detect changes … during transmission.” | SC-08(01) |
| System and Communications Protection / SC-10 | Quarterly | “Terminate the network connection … at the end of the session or after 30 minutes of inactivity.” | SC-10 |
| System and Communications Protection / SC-12 | Quarterly | “Establish and manage cryptographic keys …” | SC-12 |
| System and Communications Protection / SC-12(01) | Monthly | “Maintain availability of information in the event of the loss of cryptographic keys by users.” | SC-12(01) |
| System and Communications Protection / SC-13 | Quarterly | “Determine the cryptographic uses; and implement the types of cryptography required …” | SC-13 |
| System and Communications Protection / SC-15 | Quarterly | “Prohibit remote activation of collaborative computing devices …” | SC-15 |
| System and Communications Protection / SC-17 | Quarterly | “Issue public key certificates … or obtain … from an approved service provider …” | SC-17 |
| System and Communications Protection / SC-18 | Quarterly | “Define acceptable and unacceptable mobile code … authorize, monitor, and control …” | SC-18 |
| System and Communications Protection / SC-18(04) | Not specified | “Prevent the automatic execution of mobile code in HVA software applications and system components …” | SC-18(04) |
| System and Communications Protection / SC-20 | Quarterly | “Provide additional data origin authentication and integrity verification artifacts …” | SC-20 |
| System and Communications Protection / SC-21 | Quarterly | “Request and perform data origin authentication and data integrity verification …” | SC-21 |
| System and Communications Protection / SC-22 | Quarterly | “Ensure the systems that collectively provide name/address resolution service … are fault-tolerant and implement internal and external role separation.” | SC-22 |
| System and Communications Protection / SC-23 | Quarterly | “Protect the authenticity of communications sessions.” | SC-23 |
| System and Communications Protection / SC-24 | Monthly | “Fail to a known state … preserving confidentiality and integrity and availability …” | SC-24 |
| System and Communications Protection / SC-28 | Quarterly | “Protect the confidentiality; integrity of … information at rest …” | SC-28 |
| System and Communications Protection / SC-28(01) | Annually / 3 years | “Implement cryptographic mechanisms to prevent unauthorized disclosure and modification … at rest …” | SC-28(01) |
| System and Communications Protection / SC-39 | Quarterly | “Maintain a separate execution domain for each executing system process.” | SC-39 |
| System and Information Integrity / SI-01 | At least every 365 days; following CMS-defined events | “Review and update the current system and information integrity … policy at least every 365 days … procedures at least every 365 days …” | SI-01 |
| System and Information Integrity / SI-02 | Quarterly | “Identify, report, and correct system flaws; test software and firmware updates … install security-relevant software and firmware updates within timeframe established in the system patch management plan …” | SI-02 |
| System and Information Integrity / SI-02(02) | No less often than once every 72 hours | “Determine if system components have applicable security-relevant software and firmware updates installed using automated mechanisms no less often than once every seventy-two hours.” | SI-02(02) |
| System and Information Integrity / SI-03 | Monthly | “Implement signature-based and/or non-signature-based malicious code protection … critical system file scans no less often than once every twelve (12) hours and full system scans no less often than once every seventy-two (72) hours …” | SI-03 |
| System and Information Integrity / SI-04 | Daily | “Monitor the system to detect …” | SI-04 |
| System and Information Integrity / SI-04(02) | Daily | “Employ automated tools and mechanisms to support near real-time analysis of events.” | SI-04(02) |
| System and Information Integrity / SI-04(04) | Daily | “Determine criteria … monitor inbound and outbound communications traffic …” | SI-04(04) |
| System and Information Integrity / SI-04(05) | Daily | “Alert personnel or roles … when … indications … occur …” | SI-04(05) |
| System and Information Integrity / SI-05 | Quarterly | “Receive system security alerts, advisories, and directives … on an ongoing basis …” | SI-05 |
| System and Information Integrity / SI-05(01) | Quarterly | “Broadcast security alert and advisory information throughout the organization using automated mechanisms …” | SI-05(01) |
| System and Information Integrity / SI-06 | Quarterly; no less often than once per month for verification | “Verify the correct operation … perform the verification … upon system startup, restart, and upon command … no less often than once per month …” | SI-06 |
| System and Information Integrity / SI-07 | Quarterly | “Employ integrity verification tools to detect unauthorized changes …” | SI-07 |
| System and Information Integrity / SI-07(01) | At startup/transitional states/security-relevant events; at least quarterly | “Perform an integrity check … at startup and/or at transitional states or at security-relevant events; at least quarterly.” | SI-07(01) |
| System and Information Integrity / SI-07(02) | Quarterly | “Employ automated tools that provide notification … upon discovering discrepancies during integrity verification.” | SI-07(02) |
| System and Information Integrity / SI-07(05) | Quarterly | “Automatically … shut down / restart / implement security and/or privacy controls … when integrity violations are discovered.” | SI-07(05) |
| System and Information Integrity / SI-07(07) | At least every 365 days | “Incorporate the detection of unauthorized changes into the organizational incident response capability …” | SI-07(07) |
| System and Information Integrity / SI-07(15) | Not specified | “Implement cryptographic mechanisms to authenticate … prior to installation …” | SI-07(15) |
| System and Information Integrity / SI-08 | Quarterly | “Employ spam protection mechanisms … and update … when new releases are available …” | SI-08 |
| System and Information Integrity / SI-08(02) | Regular basis defined in plan | “Automatically update spam protection mechanisms on a regular basis …” | SI-08(02) |
| System and Information Integrity / SI-10 | Quarterly | “Check the validity of the following information inputs …” | SI-10 |
| System and Information Integrity / SI-11 | Quarterly | “Generate error messages … Reveal error messages only to …” | SI-11 |
| System and Information Integrity / SI-12 | At least every 365 days; three (3) years | “Manage and retain information within the system … in accordance with applicable laws …” | SI-12 |
| System and Information Integrity / SI-12(01) | Not specified | “Limit personally identifiable information being processed …” | SI-12(01) |
| System and Information Integrity / SI-12(02) | Not specified | “Use the following techniques to minimize the use of personally identifiable information for research, testing, or training …” | SI-12(02) |
| System and Information Integrity / SI-12(03) | Following retention period | “Use the following techniques to dispose of, destroy, or erase information following the retention period …” | SI-12(03) |
| System and Information Integrity / SI-16 | Quarterly | “Implement … controls to protect the system memory from unauthorized code execution …” | SI-16 |
| System and Information Integrity / SI-18 | Not specified in base; one subpart every 365 days | “Check the accuracy, relevance, timeliness, and completeness of PII across the information life cycle every 365 days …” | SI-18 |
| System and Information Integrity / SI-19 | Not specified in base; evaluate every 365 days | “Remove the following elements of PII … and evaluate every 365 days for effectiveness of de-identification.” | SI-19 |
| Supply Chain Risk Management / SR-01 | At least every 365 days; following CMS-defined events | “Review and update the current supply chain risk management … policy at least every 365 days … procedures at least every 365 days …” | SR-01 |
| Supply Chain Risk Management / SR-02 | Annually | “Review and update the supply chain risk management plan annually …” | SR-02 |
| Supply Chain Risk Management / SR-03 | No fixed cadence stated | “Establish a process or processes to identify and address weaknesses or deficiencies …” | SR-03 |
| Supply Chain Risk Management / SR-04(02) | Not specified | “Document, monitor, and maintain valid provenance …” | SR-04(02) |
| Supply Chain Risk Management / SR-04(03) | Not specified | “Establish and maintain unique identification … for tracking through the supply chain …” | SR-04(03) |
| Supply Chain Risk Management / SR-05 | No fixed cadence stated | “Employ the following acquisition strategies, contract tools, and procurement methods …” | SR-05 |
| Supply Chain Risk Management / SR-05(02) | Prior to selection, acceptance, modification, or update | “Assess the system, system component, or system service prior to selection, acceptance, modification, or update.” | SR-05(02) |
| Supply Chain Risk Management / SR-06 | Every 365 days | “Assess and review the supply chain-related risks associated with suppliers or contractors and the system, system component, or system service they provide every 365 days.” | SR-06 |
| Supply Chain Risk Management / SR-08 | No fixed cadence stated | “Establish agreements and procedures … for the notification of supply chain compromises …” | SR-08 |
| Supply Chain Risk Management / SR-09 | No fixed cadence stated | “Implement a tamper protection program …” | SR-09 |
| Supply Chain Risk Management / SR-09(01) | Throughout SDLC | “Employ anti-tamper technologies, tools, and techniques throughout the system development life cycle.” | SR-09(01) |
| Supply Chain Risk Management / SR-10 | Random and/or every 365 days; upon indications of need for inspection | “Inspect the following systems or system components at random and/or every 365 days or upon indications of need for inspection …” | SR-10 |
| Supply Chain Risk Management / SR-11 | No fixed cadence stated | “Develop and implement anti-counterfeit policy and procedures …” | SR-11 |
| Supply Chain Risk Management / SR-11(01) | No fixed cadence stated | “Train all System Engineers, ISSOs, System Owners and other System POCs …” | SR-11(01) |
| Supply Chain Risk Management / SR-11(02) | No fixed cadence stated | “Maintain configuration control over … components awaiting service or repair …” | SR-11(02) |
| Supply Chain Risk Management / SR-12 | No fixed cadence stated | “Dispose of CMS data, documentation, tools or system components using … NIST SP 800-88 techniques.” | SR-12 |
