URL: https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-137.pdf
TITLE: NIST SP 800-137, Information Security Continuous Monitoring ...
ERROR: None

| Section | Extracted operational structure / recurring tasks / artifacts / roles / cadence / fields |
| D.2.1 security controls supported by SIEM | - AC-5 Separation of Duties<br>- AU-2 Auditable Events<br>- AU-6 Audit Review, Analysis, and Reporting<br>- AU-7 Audit Reduction and Report Generation<br>- CA-2 Security Assessments<br>- CA-7 Continuous Monitoring<br>- IR-5 Incident Monitoring<br>- PE-6 Monitoring Physical Access<br>- RA-3 Risk Assessment<br>- RA-5 Vulnerability Scanning<br>- SI-4 Information System Monitoring |
| Management dashboard tasks | - Consolidate and communicate information relevant to organizational security status in near real-time to security management stakeholders<br>- Present information in a meaningful and easily understandable format customizable by role/responsibility |
| D.2.2 dashboard considerations | - Obtain acceptance and support from upper-level management<br>- Define useful and quantifiable organization-specific performance metrics based on information security policies and procedures<br>- Ensure availability of meaningful performance data |
| D.2.2 security controls supported by dashboards | - AC-5 Separation of Duties<br>- CA-6 Security Authorization<br>- CA-7 Continuous Monitoring<br>- PM-6 Information Security Measures of Performance<br>- PM-9 Risk Management Strategy<br>- RA-3 Risk Assessment<br>- SI-4 Information System Monitoring |
| D.3 automation examples | - Scanning for vulnerabilities and automatically applying the appropriate patches<br>- Automatically enabling security configurations based on a checklist of security settings<br>- Scanning for compliance against a pre-configured checklist of security settings<br>- Collecting security metrics from tools and reporting them to a management console in a standardized format |
| SCAP purpose | - Standardizes the format and nomenclature by which security software products communicate security flaw and security configuration information<br>- Supports automated vulnerability and patch checking<br>- Supports security control compliance activities<br>- Supports security measurement<br>- Used for maintaining security by automatically verifying installation of patches, checking system security configuration settings, and examining systems for signs of compromise |
| SCAP product validation | - Validates two types of vulnerability and patch scanners: authenticated and unauthenticated |
| Authenticated scanner capability | - Scan a target system using target system logon privileges<br>- Locate and identify the presence of known vulnerabilities<br>- Evaluate software patch status to determine ongoing security status based on an organization’s defined patch policy |
| Unauthenticated scanner capability | - Determine presence of known vulnerabilities by evaluating the target system over the network without authenticated access |
| SCAP-validated scanner capability | - Scan connected systems at regular intervals<br>- Provide quantitative and repeatable measurement and scoring of software flaws across systems<br>- Enable interoperability among vulnerability scanners and reporting tools to provide consistent detection and reporting of flaws and supports comprehensive remediation capabilities |
| FDCC / USGCB examples | - Federal Desktop Core Configuration (FDCC)<br>- United States Government Configuration Baseline (USGCB) profiles |
| SCAP-expressed checklist capabilities | - Can be customized as appropriate to meet specific organizational requirements<br>- Can map individual system security configuration settings to corresponding security requirements<br>- Embedded mappings allow SCAP-validated tools to generate assessment and compliance evidence automatically |
| OCIL | - Framework for expressing a set of questions to be presented to a user and corresponding procedures to interpret responses<br>- Can be used in conjunction with XCCDF to help handle cases where OVAL is unable to automate a particular check<br>- Defines questions, possible answers, actions to be taken resulting from a user’s answer, and enumerate the result set<br>- Answers can be returned in a standardized format, allowing statistical analysis and other calculations to be performed in an automated manner |
| NVD | - U.S. government repository of standards-based vulnerability management data represented using SCAP specifications<br>- Includes security checklists, security-related software flaws, misconfigurations, product names, and impact metrics<br>- Content is dynamic; vulnerabilities updated with patch content, checklists updated, and new checklists added<br>- XML data feeds available and updated at two-hour intervals |
| NCP | - U.S. government repository of publicly available security checklists<br>- Provides checklists both in prose format and in SCAP-expressed format<br>- A subset of checklists also provides embedded CCEs mapped to NIST SP 800-53 security controls |
| Security configuration checklist contents | - Configuration files that automatically set various security settings (e.g., executables, security templates that modify settings, scripts)<br>- Documentation (e.g., text file) that guides the checklist user to manually configure software<br>- Documents that explain the recommended methods to securely install and configure a device<br>- Policy documents that set forth guidelines for auditing, authentication security (e.g., passwords), and perimeter security |
| Checklist comparison use | - Can be performed as part of auditing and continuous monitoring of deployed systems’ security to ensure baseline configurations are maintained |
| Appendix D reference model capabilities | - Data collection<br>- Storage<br>- Querying<br>- Analysis<br>- Retrieval<br>- Propagation to higher tiers<br>- Presentation |
| Appendix D data handling | - Collected data is tagged with metadata when stored in ways that maximize reuse<br>- Data is normalized for aggregation, correlation, and consistent use in metrics<br>- Stored normalized or processed data retains relevant attributes to minimize contamination of one metric by cleansing algorithms used for another |
| Appendix D user outputs | - Reporting and risk-based decision making at all tiers<br>- Metrics calculated in accordance with the ISCM strategy and the established program<br>- Security-related information presented to ISCM roles and responsibilities and other stakeholders |
| Requested fields absent from page | - RACI matrix: not present as a formal matrix/table<br>- SLA severity table: not present<br>- Task/ticket/playbook templates with headings: not present as standalone templates, but the document explicitly mentions templates for assessing risks and templates for security status reporting, and a Security Assessment Plan plus security status reports, POA&M, System Security Plan, Security Assessment Report |
