URL: https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/851001p.pdf
TITLE: DoDI 8510.01, "Risk Management Framework for DoD ...
ERROR: None

| Topic | Extracted information |
| System Cybersecurity Program | - Consists of the policies, procedures, and activities of the SO, PM, UR, ISSM, and ISSO at the system level.<br>- Implements and executes policy and guidance from Levels 1 and 2 and augments them as needed.<br>- Is responsible for establishing and maintaining system security, including monitoring and reporting the system security status.<br>- SOs:<br>- In coordination with the IOs, data owners or stewards, categorize systems in accordance with CNSSI 1253 and document the categorization in the appropriate Joint Capabilities Integration and Development System capabilities document (e.g., capabilities development document).<br>- Appoint a UR for assigned systems.<br>- Develop, maintain, and track the security plan for assigned systems (e.g., common security controls owner performs this function for inherited controls).<br>- Oversee and manage the system's cybersecurity posture, operations, and sustainment activities (e.g., system patching, account management, updates, and required maintenance) in accordance with the AO directions and approvals outlined in formal ATO documentation.<br>- Document operations and sustainment activities delegated to external partners.<br>- PMs (or SO, if no PM is assigned): appoint an ISSM for each assigned system with the support, authority, and resources to satisfy the responsibilities established in this issuance; verify each program acquiring a system has an assigned system security engineer who is fully integrated into the systems engineering process; implement the RMF for assigned systems; verify that the planning and execution of all RMF activities are aligned, integrated with, and supportive of the system acquisition process; enforce AO authorization decisions for hosted or interconnected systems; implement and assist the SO in maintaining and tracking the security plan for assigned systems; oversee POA&M development, monitoring, resolution, and resources; oversee periodic reviews, testing, and assessment of assigned systems, conducted at least annually; provide the system description; register the system in the DoD Component registry; verify T&E of the assigned system includes planning, resourcing, and documentation in the T&E master plan in accordance with applicable pathway policies and DoDI 5000.89.<br>- URs represent the operational and functional requirements of the user community in the RMF process.<br>- ISSMs, in addition to the responsibilities established in DoDI 8500.01: support implementing the RMF; maintain and report systems assessment and authorization status and issues in accordance with DoD Component guidance; provide direction to the ISSO in accordance with DoDI 8500.01; address issues affecting the organization’s overall security through coordination with the SO, PM, ISSO, and UR, as appropriate. |
| RMF role appointment table | | 
| Role | Appointed By |
|---|---|
| PAO | DoD MA owner; DoD CISO; DoD CIO; DoD Component CIO; DoD Component head |
| AO | DoD Component head; PAO for MA-managed information systems |
| AODR | AO |
| CISO | DoD Component CIO or, in organizations in which the position of DoD Component CIO does not exist, the DoD Component head |
| SCA | DoD Component CISO is the Component SCA but may formally delegate the SCA role as appropriate |
| PM | DoD Component Acquisition Executive |
| ISSM | PM or SO |
| UR | ISO |
| RMF TAG Representative | DoD Component CISO |
| SO | DoD Component head |
| ISSO | PM or SO |
| Fields explicitly captured in task tables | - Tasks<br>- Outcomes<br>- Primary Responsibility |
| Continuous monitoring / cadence | - Continuous monitoring activities are required in the policy and Monitor step.<br>- Ongoing testing and assessments of control effectiveness are conducted in accordance with the continuous monitoring strategy.<br>- Risks and system/environment changes are monitored in accordance with the continuous monitoring strategy.<br>- AOs conduct ongoing authorizations using the results of continuous monitoring activities and communicate changes in risk determination and acceptance decisions.<br>- Periodic reviews, testing, and assessment of assigned systems are conducted at least annually. |
| POA&M / remediation records | - DoD Component heads must develop and maintain a POA&M to address known vulnerabilities in the system, subsystems, and system components in accordance with DoDI 8531.01.<br>- Task A-6: POA&M detailing remediation plans for unacceptable risks identified in security and privacy assessment reports is developed.<br>- Task M-4: Risk management documents are updated based on continuous monitoring activities.<br>- Task A-5: Remediation actions to address deficiencies in the controls implemented in the system and environment of operation are taken; security and privacy plans are updated to reflect control implementation changes made based on assessments and subsequent remediation actions.<br>- The security authorization documentation package includes All POA&Ms. |
| Escalation / exception handling | - The DoD CISO presents escalation procedures to resolve disputes among RMF processes and system development, acquisition and sustainment processes, cyberspace operations, functional operational processes, and assessments for DoD mission assurance, where necessary.<br>- DoD ISRMC makes enterprise level risk acceptance determinations for authorized enterprise systems, satisfying the requirements of cybersecurity reciprocity.<br>- If the DoD ISRMC accepts the risk on behalf of the DoD Information Enterprise, the receiving organization may not refuse to deploy the system.<br>- AOs who disagree with DSAWG decisions may appeal to the DoD ISRMC.<br>- An AO may downgrade or revoke an authorization decision at any time if risk conditions or concerns so warrant.<br>- When risks are not fully mitigated, AOs inform operators of potential impacts.<br>- When a cybersecurity risk affects an operational requirement, AOs facilitate coordination with cyberspace and functional operational commanders, and acquisition or procurement representatives. |
| Security/compliance audit evidence / artifacts | - Security authorization package / documentation package<br>- The security plan<br>- The security assessment report<br>- All POA&Ms<br>- The authorization decision document<br>- Security categorization results documented in the security, privacy, and supply chain risk management plans<br>- Security and privacy plans<br>- Security Assessment Plans<br>- Assessment reports that provide findings and recommendations<br>- Results from developer, engineering, developmental, and operational test events<br>- Authorization decisions, significant vulnerabilities, and risks reported to organizational officials<br>- Cybersecurity T&E results submitted to the appropriate AO to inform ATO decisions<br>- RMF status of assigned systems shared through automated assessment and authorization tools or designated repositories<br>- RMF implementation guidance, standards, tools, baselines, overlays, controls, implementation guidance and assessment procedures available on RMF KS<br>- Training materials posted on the DoD Cyber Exchange at https://cyber.mil |
| Named plan / template headings | - Table 1. Organization Prepare Step Tasks<br>- Table 2. Categorize Tasks and Outcomes<br>- Table 3. Select Tasks and Outcomes<br>- Table 4. Implement Tasks and Outcomes<br>- Table 5. Assessment Tasks and Outcomes<br>- Table 6. Authorization Tasks and Outcomes<br>- Table 7. Monitor Tasks and Outcomes<br>- Table 8. Appointment of RMF Roles<br>- Security Authorization Package / Security Authorization Documentation Package<br>- Security Assessment Plans<br>- Security and privacy plans<br>- Continuous monitoring strategy<br>- Security, privacy, and supply chain risk management plans |
| Severe risk / SLA values | - “Very High” and “High” level risk systems require DoD Component CIO review and document concurrence or non-concurrence, and provide directions as merited, before ATOs are issued. |
| Named standards / references explicitly tied to tasks | - CNSSI 1253<br>- NIST SP 800-53<br>- NIST SP 800-53A<br>- NIST SP 800-53B<br>- NIST SP 800-37<br>- NIST SP 800-39<br>- NIST SP 800-30<br>- NIST SP 800-137<br>- NIST SP 800-137A<br>- OMB Memorandum M-14-03<br>- DoDI 8500.01<br>- DoDI 8530.01<br>- DoDI 8531.01<br>- DoDI 5000.89<br>- DoDI 5000.90<br>- DoDD 7045.20<br>- DoDD 8115.01 |
| Absence of requested items | - No explicit ticket template fields, playbook template, or POA&M form fields are provided beyond the listed artifacts and task outcomes. |
